# GENERATED by extract_results.py -- do not edit by hand.
nnz eng_mb cus_mb oom label
12582213 25.2 101.1 0 geno22
127579429 246.1 1025.4 0 geno22full
14039379 24.1 112.8 0 geno21
140197660 246.6 1126.4 0 geno21full
13515259 25.2 108.6 0 geno20
201040680 381.6 1616.1 0 geno20full
16616951 31.6 133.2 0 geno_synth_small
152440925 201.4 1221.0 0 geno_synth_large
73471493 81.0 588.5 0 geno_synth_ld_high
77009034 173.8 616.8 0 geno_synth_ld_low
71602677 72.4 573.4 0 geno_synth_ind_large
1002967808 1005.6 8030.5 0 crossover_synth
