Dataset,GPU,OMP,CPU_Seq,mm_seq,mm_16
geno22,0.4971,11.0051,9.3660,2.8000,3.0000
geno22full,6.6876,32.0335,93.2206,68.6000,27.8000
geno21,0.5042,14.0711,10.0844,2.7000,0.6000
geno21full,6.3822,30.0476,87.1950,66.6000,28.0000
geno20,0.4835,18.4752,8.9192,3.0000,2.7000
geno20full,11.7274,40.6732,139.3130,139.7000,42.9000
geno_synth_small,0.5142,12.2229,7.9472,2.8000,2.5000
geno_synth_large,2.9651,31.3299,50.5670,46.0000,26.0000
geno_synth_ld_high,0.9752,23.4624,18.1234,7.9000,11.1000
geno_synth_ld_low,3.7812,23.6596,66.5325,47.3000,21.1000
geno_synth_ind_large,0.8318,22.8264,16.6425,9.2000,6.3000
